Module,Module #0,Module #1,Module #2,Module #3,Module #4,Module #5,Module #6,Module #7,Module #8,Module #9,Module #10,Module #11,Module #12,Module #13,Module #14
BS0F1s_1,0.110567954,0.367732369,-0.215001386,-0.105428614,-0.237037839,-0.109501697,-0.098158509,0.498273577,-0.070648657,-0.065259101,-0.081043492,0.086667668,0.024808919,0.006418539,-0.196850174
BS0F1s_2,-0.099685921,-0.10027798,0.01059381,0.144428933,0.168975746,-0.052486676,0.247788736,0.044735957,0.324918816,-0.211570299,0.128608088,0.079927674,0.186420384,0.084898876,0.050898029
BS0F1s_3,-0.120842042,-0.043099266,-0.015474688,0.145739833,-0.028979594,-0.065151329,-0.062464274,0.069019695,-0.002084676,-0.067247864,0.005668963,0.067327501,-0.19091263,0.261743265,-0.081185565
BS0F1s_4,-0.155373626,-0.216955284,0.119034672,0.243877361,0.238817462,0.035118145,0.031993849,-0.208411527,0.048681568,-0.130087932,0.161568868,0.063522322,0.067978573,0.1433521,0.077064135
BS0F2s_1,0.074734013,0.049785103,-0.124714339,0.067724897,-0.070111245,-0.052906219,0.094793068,0.111485732,0.127856867,-0.026429858,0.101123456,-0.05548063,0.030470736,-0.099360871,-0.08216551
BS0F2s_2,-0.149140531,-0.047421236,0.075347454,0.141161695,0.159246428,0.012858469,0.184934404,0.031868411,0.039698198,-0.077784632,0.197375281,-0.003310132,-0.072092852,-0.029577292,0.077733786
BS0F2s_3,-0.134474211,-0.146482725,0.032496181,0.216281461,0.209692361,0.164065193,0.096607643,-0.176206845,0.089557848,-0.181290811,0.29221942,-0.181401108,-0.179153252,-0.194656066,0.057530012
BS0F2s_4,-0.117922486,-0.173142208,0.15682182,0.154418639,0.213631306,0.003697742,0.049598402,-0.022502274,0.048997417,-0.012989713,-0.014724731,0.120591027,-0.13016472,0.219991714,0.00568352
BS1F1s_1,-0.053765666,0.082975405,0.027296471,0.080266501,0.045098446,-0.040500249,-0.083867529,0.047400397,0.086300053,-0.122834762,0.100175125,0.036412634,0.19057481,0.051228304,-0.055402409
BS1F1s_2,0.183180217,0.165217592,-0.249338522,-0.061504659,-0.15675643,-0.087560129,0.009459799,0.027903808,0.084274254,0.035045487,-0.166358208,-0.079875878,-0.243475959,-0.233920142,-0.112875651
BS1F1s_3,-0.154475886,-0.198834695,0.105574963,0.228755211,0.271500303,0.245198513,0.306498782,-0.068383935,0.231614961,-0.299269418,0.356107099,-0.221702261,-0.414181352,-0.26237176,0.082049813
BS1F1s_4,-0.182670559,-0.18346664,0.176684184,0.205768127,0.167678548,0.111033909,0.006938539,-0.082362076,0.05569532,-0.128987511,0.170164525,-0.019946015,0.034421193,0.165357407,0.235645773
BS1F2s_1,0.104957399,-0.093776954,-0.042629201,0.039357624,0.036179394,-0.083429354,-0.07709311,0.023138034,0.161148631,-0.083051104,-0.079391455,-0.08510502,0.024328229,-0.109838898,0.02304672
BS1F2s_2,-0.083339993,0.047871447,0.039371879,0.040185348,0.050349743,0.059741743,0.013939301,0.063709304,0.108375282,-0.004856154,0.084722842,-0.094949251,-0.200579242,-0.011773639,0.053162378
BS1F2s_3,-0.177158379,-0.124391896,0.107162514,0.136170014,0.154041384,0.021414395,-0.00435834,-0.079163557,-0.046466238,0.012017414,0.17530932,-0.0392878,-0.014792028,0.201191173,0.092367478
BS1F2s_4,0.191401743,-0.083019888,0.062236914,-0.002704654,-0.084814953,-0.108604754,-0.046215416,-0.069331468,-0.039956838,0.138703874,-0.128232733,0.062315431,0.105535139,0.169622346,-0.171130974
DS0F1s_1,0.176851265,0.229418966,-0.305805525,-0.087398379,-0.168682138,-0.206085754,0.023921522,0.255722303,0.02554573,0.05176716,-0.175054565,0.365046575,0.050864071,-0.072987463,-0.200749095
DS0F1s_2,-0.037830311,-0.046179528,0.04857666,0.063394085,0.018698916,-0.058948556,0.275405242,0.101015535,-0.122992425,0.046616917,-0.100863827,0.242412026,0.004589581,0.107596766,-0.050902637
DS0F1s_3,-0.043088924,0.12652847,-0.246694917,-0.005382629,-0.119927463,-0.198958533,-0.007592448,0.026440582,-0.18207962,0.094870393,-0.182166567,0.272203303,-0.148012266,0.076112035,-0.154437435
DS0F1s_4,0.286961119,-0.027247845,-0.172231637,-0.059221726,0.015908948,-0.060318533,0.029589042,0.020099588,-0.19440874,-0.155095058,-0.088735387,0.101140433,-0.14932164,-0.119574166,-0.136018011
DS0F2s_2,0.023555059,0.104527118,-0.158659912,0.028921305,-0.029946273,-0.166093368,0.283029581,0.335255001,-0.221601423,0.255920076,-0.186220826,0.225242423,-0.008049173,-0.004388408,-0.095950211
DS0F2s_3,-0.045824859,-0.019133477,0.022472834,-0.033366094,0.051432484,-0.05745745,-0.069966499,-0.04192962,-0.247449647,0.276030902,-0.193180412,0.198327823,-0.048934784,0.099132963,-0.102231413
DS0F2s_4,-0.14590067,-0.166807603,0.085496437,0.165453534,0.107417923,0.035687725,-0.00616817,-0.09608437,0.097289579,-0.095724709,-0.141263013,0.151958732,-0.125508884,0.108016106,-0.026241834
DS1F1s_1,0.151740908,0.070057781,-0.068291622,-0.027047039,-0.228920132,-0.119678754,-0.070963007,0.033953612,-0.02922047,-0.024595054,-0.08806227,-0.113039792,-0.123092491,-0.25581065,-0.156110727
DS1F1s_2,0.185929824,0.112634146,-0.02380418,-0.045933552,-0.177909719,-0.105378679,-0.049380205,0.020844713,-0.280009792,-0.18235732,-0.14005121,0.035882624,0.210968146,-0.072968481,-0.127099114
DS1F1s_3,-0.131461711,-0.10496931,0.050333743,0.107418664,-0.008562062,-0.052610067,0.136769363,-0.13726833,0.024632132,-0.101877459,-0.109113055,0.073746504,-0.061465205,-0.029398596,0.052202485
DS1F1s_4,-0.146805103,-0.125177831,0.134761708,0.098937836,0.165970242,0.080213277,-0.023232887,-0.112574427,-0.074963461,0.082114471,0.103892566,-0.076163173,-0.160426331,-0.080011665,0.189974394
DS1F2s_1,0.397423495,0.05702715,-0.13057322,-0.071497039,-0.094656643,-0.154323099,-0.117396827,0.012732567,-0.099111787,0.043329499,-0.144725309,-0.029882878,-0.038961824,-0.115225126,-0.195394342
DS1F2s_2,0.131209493,0.318829758,-0.092010733,-0.095029159,-0.228972821,-0.236830939,-0.125607745,0.424728345,-0.02858022,0.187961612,-0.156810277,-0.025405118,0.224033251,0.206197,-0.254638374
DS1F2s_3,-0.113275898,-0.141083222,0.097791479,0.12109269,0.048578484,0.002207046,0.091102624,-0.048395601,0.010772343,-0.127951094,-0.014221462,0.093386761,-0.012906672,0.058075057,-0.025095212
DS1F2s_4,-0.049343608,-0.1157671,0.06034006,0.117366731,0.173898942,-0.010934586,-0.098830898,-0.017486109,-0.070648657,-0.175866555,0.002785521,-0.071365637,-0.009130212,-0.022223101,0.031743518
TS0F1s_1,0.192119962,0.173821081,-0.290468912,-0.152259995,-0.166913308,-0.223347857,-0.036120705,0.068527951,-0.221741787,0.178417954,-0.215068895,0.416536853,0.137585129,0.274423005,-0.210790168
TS0F1s_2,-0.136415827,-0.151761068,0.106641034,0.230063156,0.176784281,0.308836765,0.522094948,-0.102339571,0.194422457,-0.306644705,0.277514938,-0.204559363,-0.139378308,-0.243581216,-0.088920692
TS0F1s_3,-0.017888276,0.107726694,-0.109054436,-0.08282065,-0.069718144,-0.094772957,0.014792166,0.083500119,-0.111304879,0.078064647,-0.143998134,-0.024861595,0.047585237,-0.025315907,-0.094353536
TS0F1s_4,-0.176111185,-0.148721098,0.030332373,0.163113567,0.037870978,-0.090987855,0.003221821,-0.17753682,0.175489899,-0.155061147,-0.037927439,-0.054166763,0.047531243,0.205637148,0.031720365
TS0F2s_1,0.191823738,0.317306789,-0.200119656,-0.262513161,-0.241252571,-0.109713944,-0.147995647,0.165736255,-0.091755652,0.100088459,-0.155518682,-0.069964529,0.245404902,-0.092504444,-0.16452101
TS0F2s_2,0.197825234,0.029580384,-0.238902584,-0.239181097,-0.22759367,-0.133932126,0.051197533,-0.107294309,-0.057757976,0.246383749,0.017824648,-0.031207491,0.157290366,0.162621193,0.083018241
TS0F2s_3,-0.108400411,-0.124093275,0.225959576,-0.078000894,0.099597388,0.203303461,-0.140039974,-0.103401671,-0.064585321,0.106207297,-0.033999216,-0.062518156,0.03620761,-0.00075321,0.126939232
TS0F2s_4,-0.029406546,-0.187425992,0.20500104,-0.084228505,0.174127487,0.20752962,-0.067183946,-0.042421365,-0.234560674,-0.127040614,-0.051498227,-0.180560682,-0.117754302,-0.086504806,0.105614829
TS1F1s_1,0.215568007,0.130089741,-0.204622635,-0.247133378,-0.198315747,-0.131307919,-0.231468562,-0.053500744,-0.119310412,0.108354809,0.119574424,-0.09361167,0.170181474,0.173231039,0.19457889
TS1F1s_3,-0.087608929,0.100677415,0.148537786,-0.225246834,-0.046648563,0.090311916,-0.118692248,-0.017977853,0.014934525,0.046650828,0.062606593,-0.146570733,0.248421989,0.093904475,0.04956323
TS1F1s_4,-0.052044429,-0.060171587,0.199681093,-0.184240576,0.013886416,0.262776382,-0.225970588,-0.163354664,-0.028087793,0.16496745,0.169343073,-0.172167582,0.099716606,-0.144837779,0.341824853
TS1F2s_1,-0.098994313,0.112152636,0.136805702,-0.158531675,-0.151618522,0.211903325,-0.135681376,-0.133201189,-0.05091793,0.241363576,0.048038808,-0.030376506,0.26714891,-0.064589142,0.361990057
TS1F2s_2,0.023227204,0.112109295,0.093731933,-0.18277396,-0.156719906,0.281829709,-0.114975578,-0.099186676,0.302109721,0.066425395,0.258494062,-0.223742026,-0.139378308,-0.242963537,0.15551444
TS1F2s_3,-0.115874255,0.108406593,0.159883055,-0.207337417,0.028123604,0.262409054,-0.142695471,-0.134973519,0.34562463,0.070777566,0.032172939,-0.163182709,0.040278071,-0.138157365,0.291844393
TS1F2s_4,0.126047919,-0.095068226,0.16943073,-0.241115523,0.066550529,0.211684993,-0.171556408,-0.170802964,0.092304846,0.231793338,-0.03706117,-0.13824382,0.075327868,-0.11545678,0.011353518
