Module,Module #0,Module #1,Module #2,Module #3,Module #4,Module #5,Module #6,Module #7,Module #8,Module #9
BS0F1s_1,-0.042415278,-0.059690031,-0.159444912,-0.030035861,-0.107026986,-0.085833292,-0.103533985,0.105382668,-0.017010716,0.265083914
BS0F1s_2,0.050051144,-0.047946672,0.226972312,-0.04057142,0.504908014,0.111802542,-0.075590628,-0.163411994,-0.02560015,-0.016571315
BS0F1s_3,0.088896189,-0.038023334,0.131365436,-0.164328395,-0.024161145,-0.097039432,0.023683,-0.021692369,-0.063810632,0.101678173
BS0F1s_4,0.149213353,0.561300614,0.14522957,-0.291264581,0.12836075,0.491289645,0.090719574,-0.110785989,-0.094359404,-0.172449813
BS0F2s_1,-0.093824836,-0.120949236,0.07201306,-0.005678639,0.019610377,-0.046281467,-0.098173187,0.079472927,-0.093531387,0.032129806
BS0F2s_2,0.10284995,0.245357437,0.223430041,-0.069968613,0.088055829,0.14661343,-0.017762666,-0.077381351,-0.024938714,-0.10502323
BS0F2s_3,0.364781737,0.00293126,0.022187856,-0.065075404,0.498755057,0.172872528,-0.043220544,-0.142155582,0.564719656,-0.169465447
BS0F2s_4,-0.001406122,0.132671592,0.073003864,-0.111460988,-0.012980963,-0.074367899,-0.040427221,-0.03730236,-0.056851445,-0.169231755
BS1F1s_1,0.379357225,0.01718833,-0.071637427,0.052787846,-0.055765247,-0.063365492,0.283210634,0.107479452,-0.017045866,-0.154841967
BS1F1s_2,0.308027467,-0.123354738,-0.044700452,0.002214971,0.13905788,0.024296953,0.251243437,-0.046323291,-0.12969206,-0.026114548
BS1F1s_3,0.125292219,0.0199825,-0.063975686,0.524377131,0.000336292,0.267615964,0.525602057,-0.073062936,-0.013513954,-0.268089594
BS1F1s_4,0.00088606,0.093724626,0.272658728,-0.168756294,-0.004356404,0.025034677,0.008508183,-0.082997706,-0.120838903,-0.182532408
BS1F2s_1,-0.022669389,-0.063857835,-0.056823178,0.067722984,-0.086316713,-0.066479528,0.308603079,-0.073201138,-0.055632327,-0.188826382
BS1F2s_2,0.024713626,0.18511944,0.156383299,-0.126085076,0.004075093,-0.052688752,-0.012163587,0.036682129,-0.045258037,0.089442418
BS1F2s_3,0.095525145,0.479869763,0.200757228,-0.171542618,0.076293838,0.047814968,-0.100378833,-0.160549551,0.021177196,-0.011230386
BS1F2s_4,0.093035678,-0.074901687,-0.037151062,0.331599396,0.006047112,-0.042190005,0.003375676,-0.252069264,-0.004364909,-0.113838192
DS0F1s_1,-0.251817261,-0.041469081,-0.218184888,0.126601634,-0.061968955,-0.095220632,-0.055291091,-0.01144454,-0.038278675,0.189007366
DS0F1s_2,0.054823725,-0.095348115,0.132396664,0.01192621,-0.084267334,-0.061805691,0.031936821,-0.125155766,0.018598877,0.153583222
DS0F1s_3,-0.080114931,-0.077792353,0.052269546,-0.133647774,-0.093431361,-0.092075344,-0.082983443,0.079724636,0.009947091,0.196963486
DS0F1s_4,0.122125873,0.076414082,0.073931479,-0.019860729,0.248222966,0.544036514,-0.020672052,-0.166471962,-0.03412635,-0.193814144
DS0F2s_2,0.143397526,-0.040548987,-0.039412521,0.151975188,-0.023191972,-0.02417739,0.190453472,-0.032186309,-0.038111084,0.050737821
DS0F2s_3,-0.080743342,-0.104186591,-0.17873178,-0.032826318,-0.014563104,-0.034465833,0.009262315,0.072917751,-0.035110035,0.115071212
DS0F2s_4,0.090366914,0.029923813,0.086993878,0.093480923,0.100315278,0.02598083,0.102217237,-0.038020831,-0.074772333,-0.177007967
DS1F1s_1,0.188333177,-0.198366305,-0.255287404,0.174075769,0.013303884,0.018223512,0.459366148,0.177260345,0.021361362,-0.119544448
DS1F1s_2,-0.35028629,-0.146461415,-0.12318966,0.106347135,-0.048478662,-0.063583017,-0.083290466,0.167309876,0.02453569,0.063633299
DS1F1s_3,0.033612808,0.00415533,0.045035988,0.031746409,0.372878366,0.298482246,-0.10670147,-0.16073329,0.737758885,-0.111029627
DS1F1s_4,-0.104956332,-0.082075356,0.138867963,-0.052909394,0.036240373,0.023824168,-0.11885974,-0.100983305,-0.0392424,-0.148583273
DS1F2s_1,-0.109485792,-0.160327699,-0.109111515,0.209409303,-0.087080046,0.19539368,-0.075065127,0.157260794,-0.055580094,-0.058724996
DS1F2s_2,0.062183034,-0.07305075,-0.173019708,0.008217097,-0.121133765,-0.078085086,-0.097301626,0.2923538,-0.032771943,0.128721187
DS1F2s_3,-0.118895346,0.09296223,0.045011143,-0.17120918,0.012100799,-0.070347293,-0.085882351,-0.168814217,0.030485458,-0.083801872
DS1F2s_4,-0.084716592,-0.031541252,-0.020989453,-0.008129945,0.00656884,-0.038475696,-0.027222655,-0.158368226,-0.028024435,-0.118136364
TS0F1s_1,0.042519831,-0.153871761,-0.146765221,0.077630072,-0.109166061,-0.102154023,0.008920096,0.178323332,-0.040683257,0.213831716
TS0F1s_2,0.11224108,0.070755004,0.084009809,-0.075203838,-0.05585244,-0.10060359,-0.11552397,-0.010773886,0.153539482,0.213546193
TS0F1s_3,-0.0643286,0.127986278,0.034846214,-0.089899332,-0.035539222,-0.066856427,-0.079737967,-0.065346698,-0.03876435,-0.034651147
TS0F1s_4,-0.079921427,0.022521886,0.128295978,-0.102286397,0.006250403,-0.071630103,-0.112578408,0.125918865,-0.02536271,0.025186095
TS0F2s_1,-0.212864865,-0.102593219,-0.097070958,-0.124583923,-0.156626104,-0.118579524,-0.079192305,0.163893227,-0.068318912,0.245570112
TS0F2s_2,-0.0676088,-0.104057903,-0.002794958,0.022820385,-0.047461802,-0.054698665,-0.00648787,-0.067764095,0.006156914,0.053163814
TS0F2s_3,-0.112767246,0.100464245,0.097847587,-0.159795611,-0.110020624,-0.090138672,-0.047961159,-0.193188008,0.006229269,-0.050883561
TS0F2s_4,0.035844664,0.08973817,0.195677381,-0.006320518,-0.065115604,-0.073299311,-0.112355826,-0.082072604,-0.105423495,-0.157230195
TS1F1s_1,-0.100760053,-0.151531723,-0.22329277,0.02888306,-0.142229072,-0.093699955,-0.046171304,0.32082784,-0.038595585,0.048455797
TS1F1s_3,-0.101876096,-0.048821598,-0.031904698,-0.10536696,-0.138421824,-0.088604375,-0.111052887,0.249656422,-0.03626069,0.197810592
TS1F1s_4,-0.113450127,-0.040097445,-0.125227578,0.035440287,-0.10827244,-0.101171348,-0.115682577,0.181753511,-0.04836376,0.099330462
TS1F2s_1,0.014642904,-0.05537806,-0.029583976,-0.042276718,-0.108396096,-0.081755249,-0.118925855,0.285803328,-0.012460518,0.259432692
TS1F2s_2,-0.128367656,-0.139679312,-0.360564473,0.128052979,-0.133700259,-0.100436038,-0.01195549,0.139160184,-0.041414031,0.193412401
TS1F2s_3,-0.233063297,0.070915069,0.193972878,-0.122299424,-0.096130352,-0.081733196,-0.121528022,-0.098772343,0.036547159,0.024483278
TS1F2s_4,-0.126381652,-0.048059212,-0.264293625,0.306075172,-0.129726594,-0.08143933,0.026572583,-0.20015148,-0.036943878,-0.128652425
