"","BF...1","DF...2","TF...3","BF+DF","BF+TF","DF+TF","tax_indic_sign","BF...8","DF...9","TF...10","index","stat","p.value"
"OTU_10",0.126397488419186,-0.336014647266609,0.209617158847422,-0.209617158847423,0.336014647266608,-0.126397488419187,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,1,5,0.336014647266608,0.0496
"OTU_1081",0.350678637422557,-0.219797930661065,-0.130880706761492,0.130880706761492,0.219797930661065,-0.350678637422557,"k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.350678637422557,0.0356
"OTU_11",0.438992719439414,-0.438345111003349,-0.000647608436064654,0.000647608436065029,0.438345111003348,-0.438992719439413,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum",1,0,0,1,0.438992719439414,0.0068
"OTU_123",0.316931677132143,-0.213727899832574,-0.10320377729957,0.10320377729957,0.213727899832574,-0.316931677132144,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.316931677132143,0.0463
"OTU_1287",0.29945408640559,0.0828362313408475,-0.382290317746438,0.382290317746437,-0.0828362313408474,-0.29945408640559,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.382290317746437,0.0179
"OTU_1735",0.326863385028387,-0.00616533765385505,-0.320698047374532,0.320698047374532,0.0061653376538547,-0.326863385028387,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_sp",1,0,0,1,0.326863385028387,0.0347
"OTU_1746",0.0504307379568499,-0.489119202356461,0.438688464399612,-0.438688464399612,0.489119202356461,-0.0504307379568501,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__unidentified; g__unidentified; s__unidentified",1,0,1,5,0.489119202356461,0.0019
"OTU_1838",0.375497120647375,-0.161186166885749,-0.214310953761626,0.214310953761626,0.161186166885749,-0.375497120647375,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.375497120647375,0.0216
"OTU_1865",0.534469110893378,-0.290033414689943,-0.244435696203436,0.244435696203435,0.290033414689943,-0.534469110893379,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_sp",1,0,0,1,0.534469110893378,4e-04
"OTU_187",0.500899879475396,-0.305330340217696,-0.1955695392577,0.1955695392577,0.305330340217696,-0.500899879475396,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.500899879475396,0.0013
"OTU_2004",0.331415626913865,-0.325905320917813,-0.00551030599605126,0.00551030599605143,0.325905320917813,-0.331415626913865,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.331415626913865,0.0485
"OTU_2044",0.41696104750695,-0.127263011580927,-0.289698035926023,0.289698035926023,0.127263011580927,-0.41696104750695,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.41696104750695,0.0103
"OTU_2125",0.395268924658743,-0.0776952324089752,-0.317573692249768,0.317573692249768,0.0776952324089751,-0.395268924658743,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__unidentified; s__unidentified",1,0,0,1,0.395268924658743,0.01
"OTU_2282",0.352570584896694,0.0803043880892403,-0.432874972985934,0.432874972985934,-0.0803043880892401,-0.352570584896694,"k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.432874972985934,0.0048
"OTU_2285",0.590874964849192,-0.16129707081686,-0.429577894032333,0.429577894032333,0.16129707081686,-0.590874964849193,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.590874964849192,1e-04
"OTU_2360",0.0466625394815359,0.335162846693716,-0.381825386175253,0.381825386175253,-0.335162846693717,-0.046662539481536,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium; s__Schizothecium_carpinicola",1,1,0,4,0.381825386175253,0.0215
"OTU_2389",0.393274779754109,-0.284890782423613,-0.108383997330496,0.108383997330496,0.284890782423612,-0.393274779754109,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.393274779754109,0.0178
"OTU_2454",0.0234132196337537,0.35278466268502,-0.376197882318774,0.376197882318774,-0.352784662685021,-0.0234132196337538,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.376197882318774,0.0243
"OTU_2528",0.581154972246433,-0.418026341820536,-0.163128630425897,0.163128630425897,0.418026341820535,-0.581154972246434,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.581154972246433,1e-04
"OTU_2539",0.42640830762317,-0.0670172511001575,-0.359391056523013,0.359391056523013,0.0670172511001569,-0.426408307623171,"k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.42640830762317,0.0059
"OTU_264",0.487109680563684,-0.396397017937805,-0.0907126626258796,0.0907126626258792,0.396397017937805,-0.487109680563685,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.487109680563684,0.0024
"OTU_2828",0.0533010018987482,0.34139316322662,-0.394694165125368,0.394694165125368,-0.34139316322662,-0.0533010018987482,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.394694165125368,0.01
"OTU_2867",0.115915891367228,0.325744883244091,-0.44166077461132,0.441660774611319,-0.325744883244092,-0.115915891367228,"k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_fimbricystis",1,1,0,4,0.441660774611319,0.0049
"OTU_2872",0.343644976128959,-0.242439789488523,-0.101205186640436,0.101205186640436,0.242439789488523,-0.343644976128959,"k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.343644976128959,0.0495
"OTU_2989",0.34445051436748,-0.124588168198596,-0.219862346168884,0.219862346168884,0.124588168198596,-0.34445051436748,"k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Sporobolomyces; s__Sporobolomyces_patagonicus",1,0,0,1,0.34445051436748,0.0443
"OTU_3249",0.547578520476517,-0.316430795323503,-0.231147725153015,0.231147725153014,0.316430795323502,-0.547578520476518,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.547578520476517,3e-04
"OTU_3537",0.366953610307085,-0.0530753265093097,-0.313878283797775,0.313878283797775,0.0530753265093099,-0.366953610307085,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_aggregatum",1,0,0,1,0.366953610307085,0.0044
"OTU_3539",0.248919480046205,-0.132518921181235,-0.116400558864971,0.116400558864971,0.132518921181234,-0.248919480046205,"k__Fungi; p__Glomeromycota; c__Paraglomeromycetes; o__Paraglomerales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.248919480046205,0.0045
"OTU_3546",0.532466241843866,-0.145409610029651,-0.387056631814216,0.387056631814216,0.14540961002965,-0.532466241843866,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.532466241843866,6e-04
"OTU_3554",0.377507902855226,-0.0865886215528513,-0.290919281302375,0.290919281302375,0.0865886215528512,-0.377507902855226,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Septoglomus; s__Septoglomus_viscosum",1,0,0,1,0.377507902855226,0.0219
"OTU_3555",0.53359095309369,-0.121287719385569,-0.412303233708121,0.412303233708121,0.121287719385568,-0.53359095309369,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.53359095309369,7e-04
"OTU_3584",0.126572989039955,0.214453189410372,-0.341026178450327,0.341026178450327,-0.214453189410372,-0.126572989039955,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,1,0,4,0.341026178450327,0.0457
"OTU_3604",0.303590516555379,-0.0908258985023476,-0.212764618053031,0.212764618053031,0.0908258985023474,-0.303590516555379,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,0,0,1,0.303590516555379,0.0278
"OTU_3606",0.617710546706987,-0.133189748203936,-0.484520798503052,0.484520798503052,0.133189748203936,-0.617710546706987,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus; s__Rhizophagus_sp",1,0,0,1,0.617710546706987,2e-04
"OTU_3613",0.469982146911412,-0.135095216518228,-0.334886930393184,0.334886930393184,0.135095216518228,-0.469982146911412,"k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.469982146911412,0.0021
"OTU_3639",0.326198257367553,0.0297312069231395,-0.355929464290693,0.355929464290693,-0.0297312069231397,-0.326198257367554,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_aggregatum",1,1,0,4,0.355929464290693,0.0351
"OTU_3683",0.444158766615692,-0.197719701793232,-0.24643906482246,0.24643906482246,0.197719701793232,-0.444158766615692,"k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__Mycena_alexandri",1,0,0,1,0.444158766615692,0.0043
"OTU_3716",0.353195287400172,-0.137989103444741,-0.215206183955431,0.215206183955431,0.137989103444741,-0.353195287400172,"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Hannaella; s__Hannaella_zeae",1,0,0,1,0.353195287400172,0.037
"OTU_3721",0.354133080832236,-0.0797631252542375,-0.274369955577998,0.274369955577998,0.0797631252542374,-0.354133080832236,"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Rhynchogastremataceae; g__Papiliotrema; s__Papiliotrema_flavescens",1,0,0,1,0.354133080832236,0.0362
"OTU_3723",0.375380951247952,-0.171706661082797,-0.203674290165155,0.203674290165155,0.171706661082797,-0.375380951247952,"k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.375380951247952,0.0184
"OTU_3742",0.429087006969347,-0.00565306513232537,-0.423433941837022,0.423433941837022,0.00565306513232537,-0.429087006969347,"k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.429087006969347,0.0078
"OTU_3754",0.0492829492838667,0.298149277066459,-0.347432226350326,0.347432226350326,-0.29814927706646,-0.0492829492838669,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,1,0,4,0.347432226350326,0.0399
"OTU_3766",0.42877679758508,-0.168652889396845,-0.260123908188235,0.260123908188235,0.168652889396845,-0.42877679758508,"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Hannaella; s__Hannaella_luteola",1,0,0,1,0.42877679758508,0.0055
"OTU_3770",0.319534865376635,-0.150277084200029,-0.169257781176606,0.169257781176606,0.150277084200029,-0.319534865376635,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.319534865376635,0.0301
"OTU_3786",0.329841786240506,-0.143379781211113,-0.186462005029393,0.186462005029393,0.143379781211113,-0.329841786240506,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.329841786240506,0.0174
"OTU_3787",0.355631543765782,-0.0266004570104082,-0.329031086755374,0.329031086755374,0.0266004570104081,-0.355631543765782,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,0,0,1,0.355631543765782,0.0343
"OTU_3822",0.444087553375701,-0.171510843607647,-0.272576709768054,0.272576709768054,0.171510843607647,-0.444087553375701,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Septoglomus; s__Septoglomus_constrictum",1,0,0,1,0.444087553375701,7e-04
"OTU_3860",0.0923249116079697,0.261725522103761,-0.354050433711731,0.354050433711731,-0.261725522103761,-0.0923249116079697,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.354050433711731,0.0336
"OTU_3872",0.396368326590305,-0.117156687248146,-0.279211639342159,0.279211639342159,0.117156687248146,-0.396368326590305,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.396368326590305,0.0131
"OTU_3878",0.362374042239841,-0.0815199208072124,-0.280854121432629,0.280854121432629,0.0815199208072126,-0.362374042239841,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,0,0,1,0.362374042239841,0.0118
"OTU_3899",0.557890715393853,-0.0994579917089285,-0.458432723684925,0.458432723684925,0.0994579917089283,-0.557890715393854,"k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.557890715393853,4e-04
"OTU_3971",0.400457810967749,-0.108028971839439,-0.292428839128311,0.292428839128311,0.108028971839439,-0.400457810967749,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,0,0,1,0.400457810967749,0.0134
"OTU_3976",0.257653335034047,0.105520094015495,-0.363173429049542,0.363173429049542,-0.105520094015495,-0.257653335034047,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,1,0,4,0.363173429049542,0.0283
"OTU_3997",0.342553469233475,-0.140009175288129,-0.202544293945346,0.202544293945346,0.140009175288129,-0.342553469233475,"k__Fungi; p__Glomeromycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.342553469233475,0.0369
"OTU_408",0.380132846651481,-0.178337173818581,-0.201795672832899,0.201795672832899,0.178337173818581,-0.380132846651481,"k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.380132846651481,0.0195
"OTU_411",0.337465529517159,-0.473844593173549,0.13637906365639,-0.13637906365639,0.473844593173549,-0.337465529517159,"k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Hymenochaetaceae; g__unidentified; s__unidentified",1,0,1,5,0.473844593173549,0.0023
"OTU_439",0.109681131627424,0.250991926450317,-0.36067305807774,0.360673058077741,-0.250991926450317,-0.109681131627424,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.360673058077741,0.0349
"OTU_5",0.347523019451448,-0.0746405730175847,-0.272882446433864,0.272882446433864,0.0746405730175846,-0.347523019451449,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",1,0,0,1,0.347523019451448,0.0423
"OTU_976",0.36452589537031,0.169037452405991,-0.533563347776301,0.533563347776302,-0.169037452405991,-0.36452589537031,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.533563347776302,4e-04
"OTU_1096",-0.427693711827634,0.0885231180000054,0.339170593827628,-0.339170593827628,-0.0885231180000055,0.427693711827634,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",0,1,1,6,0.427693711827634,0.0076
"OTU_1249",-0.287205874273214,0.397328253081543,-0.110122378808328,0.110122378808328,-0.397328253081543,0.287205874273214,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_opportunistica",0,1,0,2,0.397328253081543,0.0041
"OTU_1287.1",0.29945408640559,0.0828362313408475,-0.382290317746438,0.382290317746437,-0.0828362313408474,-0.29945408640559,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.382290317746437,0.0179
"OTU_1301",-0.333958575689492,0.481742422228074,-0.147783846538581,0.147783846538581,-0.481742422228074,0.333958575689492,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_salmonis",0,1,0,2,0.481742422228074,0.0013
"OTU_1388",-0.343924167271555,0.458011271367848,-0.114087104096293,0.114087104096293,-0.458011271367848,0.343924167271555,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora_chaetospira",0,1,0,2,0.458011271367848,0.0031
"OTU_1675",-0.126537263721188,0.292676533826128,-0.16613927010494,0.166139270104941,-0.292676533826128,0.126537263721188,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Lecanicillium; s__Lecanicillium_muscarium",0,1,0,2,0.292676533826128,0.0405
"OTU_1708",-0.332908298237899,0.045510446855199,0.2873978513827,-0.2873978513827,-0.0455104468551989,0.3329082982379,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__Talaromyces_purpureogenus",0,1,1,6,0.3329082982379,0.0485
"OTU_1920",-0.347883356702359,0.468109727974008,-0.120226371271649,0.120226371271649,-0.468109727974008,0.347883356702359,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Scytalidium; s__Scytalidium_sp",0,1,0,2,0.468109727974008,0.0028
"OTU_1924",-0.132970681913179,0.252677409669824,-0.119706727756644,0.119706727756644,-0.252677409669824,0.132970681913179,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.252677409669824,1e-04
"OTU_1960",-0.177212298010559,0.307535240613219,-0.13032294260266,0.13032294260266,-0.307535240613219,0.177212298010559,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.307535240613219,0.032
